bin_idx,lo,hi,n,fraction,mean_predicted,empirical_rate,gap,split
6,0.1977401129943503,0.25568627450980386,11061,0.055305,0.22592459256994238,0.1343459000090408,0.09157869256090159,train
7,0.25568627450980386,0.27011188066062863,34455,0.172275,0.256649553068927,0.20432448120737193,0.05232507186155508,train
8,0.27011188066062863,0.2892938496583144,18826,0.09413,0.2728101409648558,0.3212047168809094,0.04839457591605362,train
9,0.2892938496583144,0.40073193046660566,15447,0.077235,0.3343194172392432,0.4055803715931896,0.07126095435394642,train
10,0.40073193046660566,0.6692307692307692,12195,0.060975,0.5111242020191605,0.4907749077490775,0.02034929427008303,train
11,0.6692307692307692,0.7825581395348837,8998,0.04499,0.7070937891639365,0.5595687930651256,0.14752499609881087,train
12,0.7825581395348837,1.0,19067,0.095335,0.8286079141497714,0.8068914879110505,0.021716426238720943,train
0,0.0,0.012944983818770225,1906,0.0606987038629343,0.0094439092339979,0.00944386149003148,4.7743966419266926e-08,val
1,0.012944983818770225,0.020833333333333332,2168,0.0690423871851215,0.015221402214022163,0.01522140221402214,2.2551405187698492e-17,val
2,0.020833333333333332,0.02895752895752896,1738,0.055348555778478394,0.02474108170310702,0.02474108170310702,0.0,val
3,0.02895752895752896,0.03902439024390244,1132,0.03604980733097672,0.029151943462897525,0.029151943462897525,0.0,val
4,0.03902439024390244,0.07471264367816093,3207,0.10213050539791727,0.04801995634549423,0.04801995634549423,0.0,val
5,0.07471264367816093,0.14016172506738545,2361,0.07518868825833572,0.09868699703515443,0.0986869970351546,1.6653345369377348e-16,val
6,0.14016172506738545,0.23493975903614459,2058,0.06553931403458489,0.16132167152575266,0.16132167152575316,4.996003610813204e-16,val
7,0.23493975903614459,0.27011188066062863,2036,0.06483869940447756,0.254061941002289,0.2544204322200393,0.0003584912177502786,val
8,0.27011188066062863,0.2795608108108109,1876,0.059743320276424317,0.27011188066062874,0.2697228144989339,0.00038906616169481767,val
9,0.2795608108108109,0.2892938496583144,1184,0.03770580554759403,0.2795608108108109,0.2795608108108108,1.1102230246251565e-16,val
10,0.2892938496583144,0.3670557717250324,3052,0.09719435686761568,0.3133574887849684,0.313564875491481,0.00020738670651260227,val
11,0.3670557717250324,0.40073193046660566,2151,0.06850100315276583,0.3726791930396443,0.3723849372384937,0.00029425580115061134,val
12,0.40073193046660566,0.5207496653279786,2136,0.06802331135951084,0.4372659176029961,0.43726591760299627,1.6653345369377348e-16,val
13,0.5207496653279786,0.6692307692307692,1798,0.05725932295149836,0.5537648669461799,0.5539488320355951,0.00018396508941520562,val
14,0.6692307692307692,1.0,2598,0.0827362185917646,0.7553236163320898,0.7551963048498845,0.00012731148220523902,val
0,0.0,0.009541984732824426,13433,0.04554408449032871,4.259494213175525e-06,0.005136603885952505,0.00513234439173933,pooled
1,0.009541984732824426,0.016476552598225603,21980,0.07452236857719235,0.011116233799954592,0.01091901728844404,0.000197216511510551,pooled
2,0.016476552598225603,0.03902439024390244,20819,0.07058604146535795,0.024051578885335562,0.0182525577597387,0.005799021125596861,pooled
3,0.03902439024390244,0.07547169811320754,22250,0.07543779348692128,0.051546386463430495,0.03797752808988764,0.013568858373542853,pooled
4,0.07547169811320754,0.14016172506738545,18445,0.06253708318500059,0.10446954627894546,0.0628896719978314,0.041579874281114065,pooled
5,0.14016172506738545,0.18666666666666668,20526,0.06959263591517062,0.15222955243263883,0.10269901588229563,0.0495305365503432,pooled
6,0.18666666666666668,0.25568627450980386,14489,0.04912441302615742,0.2227484746807649,0.14479950307129547,0.07794897160946943,pooled
7,0.25568627450980386,0.27011188066062863,41038,0.13913780535354048,0.256756748554902,0.2035674253131244,0.05318932324177758,pooled
8,0.27011188066062863,0.2795608108108109,19087,0.06471376019257828,0.2701118806606287,0.29920888562896214,0.02909700496833345,pooled
9,0.2795608108108109,0.3544973544973545,24028,0.08146603604061774,0.2987587504551273,0.3564591310138172,0.05770038055868992,pooled
10,0.3544973544973545,0.47959183673469385,18680,0.06333384190272763,0.3911468882356306,0.43174518201284795,0.040598293777217354,pooled
11,0.47959183673469385,0.6692307692307692,14318,0.04854464391666243,0.550176011753346,0.5237463332867719,0.02642967846657407,pooled
12,0.6692307692307692,0.7825581395348837,14066,0.04769024733424876,0.7073076609165936,0.5846722593487843,0.12263540156780928,pooled
13,0.7825581395348837,1.0,31786,0.10776924511349574,0.8145241328147227,0.6483672056880387,0.16615692712668395,pooled
