method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate,task_idx,dataset_id,objective,edit_budget,seed
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,2
editguard_guided,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,2
random,50,0.82,0.8529025239338556,0.9988033072236727,1.94,1.0,0.82,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,3
novelty,50,1.0,0.965263272410792,0.9960835509138382,2.0,1.0,1.0,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,3
objective_only,50,0.92,0.9158213664055701,0.9984769364664926,1.96,1.0,0.92,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,3
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,3
editguard_guided,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,3
random,50,0.82,0.843203872932985,0.9995648389904265,1.92,1.0,0.82,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,4
novelty,50,1.0,0.965263272410792,0.9960835509138382,2.0,1.0,1.0,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,4
objective_only,50,0.92,0.9158213664055701,0.9984769364664926,1.96,1.0,0.92,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,4
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,4
editguard_guided,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,4
random,50,0.48,0.6083257180156657,0.9984769364664926,2.86,1.0,0.48,6,F7YBW8_MESOW_Aakre_2015,novelty,3,0
novelty,50,0.08,0.43006092254134026,0.917319408181027,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,0
objective_only,50,0.08,0.3902741514360313,0.8894691035683203,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,0
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,6,F7YBW8_MESOW_Aakre_2015,novelty,3,0
editguard_guided,50,0.38,0.5829286335944298,0.968124456048738,3.0,1.0,0.38,6,F7YBW8_MESOW_Aakre_2015,novelty,3,0
random,50,0.56,0.6710770234986946,0.980526544821584,2.84,1.0,0.56,6,F7YBW8_MESOW_Aakre_2015,novelty,3,1
novelty,50,0.08,0.43006092254134026,0.917319408181027,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,1
objective_only,50,0.08,0.3902741514360313,0.8894691035683203,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,1
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,6,F7YBW8_MESOW_Aakre_2015,novelty,3,1
editguard_guided,50,0.38,0.5829286335944298,0.968124456048738,3.0,1.0,0.38,6,F7YBW8_MESOW_Aakre_2015,novelty,3,1
random,50,0.5,0.6760258920800696,0.9860748476936466,2.88,1.0,0.5,6,F7YBW8_MESOW_Aakre_2015,novelty,3,2
novelty,50,0.08,0.43006092254134026,0.917319408181027,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,2
objective_only,50,0.08,0.3902741514360313,0.8894691035683203,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,2
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,6,F7YBW8_MESOW_Aakre_2015,novelty,3,2
editguard_guided,50,0.38,0.5829286335944298,0.968124456048738,3.0,1.0,0.38,6,F7YBW8_MESOW_Aakre_2015,novelty,3,2
random,50,0.48,0.6252632724107919,0.9894473455178416,2.92,1.0,0.48,6,F7YBW8_MESOW_Aakre_2015,novelty,3,3
novelty,50,0.08,0.43006092254134026,0.917319408181027,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,3
objective_only,50,0.08,0.3902741514360313,0.8894691035683203,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,3
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,6,F7YBW8_MESOW_Aakre_2015,novelty,3,3
editguard_guided,50,0.38,0.5829286335944298,0.968124456048738,3.0,1.0,0.38,6,F7YBW8_MESOW_Aakre_2015,novelty,3,3
random,50,0.38,0.6366122715404701,0.9939077458659704,2.8,1.0,0.38,6,F7YBW8_MESOW_Aakre_2015,novelty,3,4
novelty,50,0.08,0.43006092254134026,0.917319408181027,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,4
objective_only,50,0.08,0.3902741514360313,0.8894691035683203,3.0,1.0,0.08,6,F7YBW8_MESOW_Aakre_2015,novelty,3,4
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,6,F7YBW8_MESOW_Aakre_2015,novelty,3,4
editguard_guided,50,0.38,0.5829286335944298,0.968124456048738,3.0,1.0,0.38,6,F7YBW8_MESOW_Aakre_2015,novelty,3,4
random,50,0.76,0.8292776327241078,0.9972802436901653,2.76,1.0,0.76,7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,0
novelty,50,0.8,0.8211640557006092,0.9583333333333334,3.0,1.0,0.8,7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,0
objective_only,50,0.84,0.8334105744125325,0.9984769364664926,2.74,1.0,0.84,7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,0
