task_idx,dataset_id,objective,edit_budget,seed,method,score_col,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
9,F7YBW8_MESOW_Aakre_2015,novelty,5,3,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
9,F7YBW8_MESOW_Aakre_2015,novelty,5,4,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,0,esm_if_rerank,esm_if_score,50,0.94,0.9191383812010443,0.9992384682332462,2.4,1.0,0.94
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,1,esm_if_rerank,esm_if_score,50,0.94,0.9191383812010443,0.9992384682332462,2.4,1.0,0.94
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,2,esm_if_rerank,esm_if_score,50,0.94,0.9191383812010443,0.9992384682332462,2.4,1.0,0.94
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,3,esm_if_rerank,esm_if_score,50,0.94,0.9191383812010443,0.9992384682332462,2.4,1.0,0.94
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,4,esm_if_rerank,esm_if_score,50,0.94,0.9191383812010443,0.9992384682332462,2.4,1.0,0.94
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,0,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,1,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,2,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,3,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,4,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
12,GCN4_YEAST_Staller_2018,novelty,1,0,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,1,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,2,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,3,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,4,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
13,GCN4_YEAST_Staller_2018,fragility_aware,1,0,esm_if_rerank,esm_if_score,26,0.5769230769230769,0.7172537470111391,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,1,esm_if_rerank,esm_if_score,26,0.5769230769230769,0.7172537470111391,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,2,esm_if_rerank,esm_if_score,26,0.5769230769230769,0.7172537470111391,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,3,esm_if_rerank,esm_if_score,26,0.5769230769230769,0.7172537470111391,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,4,esm_if_rerank,esm_if_score,26,0.5769230769230769,0.7172537470111391,0.9268385140257771,1.0,1.0,0.5769230769230769
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,0,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,1,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,2,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,3,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,4,esm_if_rerank,esm_if_score,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
15,GCN4_YEAST_Staller_2018,novelty,2,0,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
15,GCN4_YEAST_Staller_2018,novelty,2,1,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
15,GCN4_YEAST_Staller_2018,novelty,2,2,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
15,GCN4_YEAST_Staller_2018,novelty,2,3,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
15,GCN4_YEAST_Staller_2018,novelty,2,4,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
16,GCN4_YEAST_Staller_2018,fragility_aware,2,0,esm_if_rerank,esm_if_score,50,0.52,0.7287717968157696,0.9818043972706596,1.7,1.0,0.52
16,GCN4_YEAST_Staller_2018,fragility_aware,2,1,esm_if_rerank,esm_if_score,50,0.52,0.7287717968157696,0.9818043972706596,1.7,1.0,0.52
16,GCN4_YEAST_Staller_2018,fragility_aware,2,2,esm_if_rerank,esm_if_score,50,0.52,0.7287717968157696,0.9818043972706596,1.7,1.0,0.52
16,GCN4_YEAST_Staller_2018,fragility_aware,2,3,esm_if_rerank,esm_if_score,50,0.52,0.7287717968157696,0.9818043972706596,1.7,1.0,0.52
16,GCN4_YEAST_Staller_2018,fragility_aware,2,4,esm_if_rerank,esm_if_score,50,0.52,0.7287717968157696,0.9818043972706596,1.7,1.0,0.52
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,0,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,1,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,2,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,3,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,4,esm_if_rerank,esm_if_score,50,0.5,0.7180667172100076,0.9818043972706596,1.62,1.0,0.5
18,GCN4_YEAST_Staller_2018,novelty,3,0,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
18,GCN4_YEAST_Staller_2018,novelty,3,1,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
18,GCN4_YEAST_Staller_2018,novelty,3,2,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
18,GCN4_YEAST_Staller_2018,novelty,3,3,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
18,GCN4_YEAST_Staller_2018,novelty,3,4,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
19,GCN4_YEAST_Staller_2018,fragility_aware,3,0,esm_if_rerank,esm_if_score,50,0.5,0.7125018953752842,0.9965883244882486,2.12,1.0,0.5
19,GCN4_YEAST_Staller_2018,fragility_aware,3,1,esm_if_rerank,esm_if_score,50,0.5,0.7125018953752842,0.9965883244882486,2.12,1.0,0.5
19,GCN4_YEAST_Staller_2018,fragility_aware,3,2,esm_if_rerank,esm_if_score,50,0.5,0.7125018953752842,0.9965883244882486,2.12,1.0,0.5
19,GCN4_YEAST_Staller_2018,fragility_aware,3,3,esm_if_rerank,esm_if_score,50,0.5,0.7125018953752842,0.9965883244882486,2.12,1.0,0.5
19,GCN4_YEAST_Staller_2018,fragility_aware,3,4,esm_if_rerank,esm_if_score,50,0.5,0.7125018953752842,0.9965883244882486,2.12,1.0,0.5
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,0,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,1,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,2,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,3,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,4,esm_if_rerank,esm_if_score,50,0.46,0.7072251705837757,0.9965883244882486,2.08,1.0,0.46
21,GCN4_YEAST_Staller_2018,novelty,5,0,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
21,GCN4_YEAST_Staller_2018,novelty,5,1,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
21,GCN4_YEAST_Staller_2018,novelty,5,2,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
21,GCN4_YEAST_Staller_2018,novelty,5,3,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
