task_idx,dataset_id,objective,edit_budget,seed,method,vep_column,vep_coverage,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,3,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,3,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,4,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,4,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,0,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,0,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,1,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,1,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,2,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,2,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,3,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,3,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,4,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
6,F7YBW8_MESOW_Aakre_2015,novelty,3,4,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,0,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,0,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,1,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,1,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,2,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,2,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,3,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,3,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,4,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,4,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,0,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,0,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,1,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,1,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,2,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,2,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,3,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,3,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,4,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,4,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,0,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,0,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,1,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,1,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,2,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,2,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,3,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,3,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,4,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
9,F7YBW8_MESOW_Aakre_2015,novelty,5,4,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,0,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,0,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,1,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,1,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,2,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,2,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,3,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,3,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,4,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,4,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9861227154046998,0.9998912097476066,1.52,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,0,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,0,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,1,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,1,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,2,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,2,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,3,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,3,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,4,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,4,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9851392515230636,0.9998912097476066,1.48,1.0,1.0
12,GCN4_YEAST_Staller_2018,novelty,1,0,tranception_l_rerank,Tranception_L,1.0,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,0,eve_ensemble_rerank,EVE_ensemble,1.0,33,0.5151515151515151,0.6585222965056172,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,1,tranception_l_rerank,Tranception_L,1.0,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,1,eve_ensemble_rerank,EVE_ensemble,1.0,33,0.5151515151515151,0.6585222965056172,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,2,tranception_l_rerank,Tranception_L,1.0,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,2,eve_ensemble_rerank,EVE_ensemble,1.0,33,0.5151515151515151,0.6585222965056172,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,3,tranception_l_rerank,Tranception_L,1.0,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,3,eve_ensemble_rerank,EVE_ensemble,1.0,33,0.5151515151515151,0.6585222965056172,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,4,tranception_l_rerank,Tranception_L,1.0,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
12,GCN4_YEAST_Staller_2018,novelty,1,4,eve_ensemble_rerank,EVE_ensemble,1.0,33,0.5151515151515151,0.6585222965056172,0.9268385140257771,1.0,1.0,0.5151515151515151
13,GCN4_YEAST_Staller_2018,fragility_aware,1,0,tranception_l_rerank,Tranception_L,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,0,eve_ensemble_rerank,EVE_ensemble,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,1,tranception_l_rerank,Tranception_L,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,1,eve_ensemble_rerank,EVE_ensemble,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,2,tranception_l_rerank,Tranception_L,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,2,eve_ensemble_rerank,EVE_ensemble,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,3,tranception_l_rerank,Tranception_L,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,3,eve_ensemble_rerank,EVE_ensemble,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,4,tranception_l_rerank,Tranception_L,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
13,GCN4_YEAST_Staller_2018,fragility_aware,1,4,eve_ensemble_rerank,EVE_ensemble,1.0,26,0.5769230769230769,0.7172537470111389,0.9268385140257771,1.0,1.0,0.5769230769230769
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,0,tranception_l_rerank,Tranception_L,1.0,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,0,eve_ensemble_rerank,EVE_ensemble,1.0,33,0.5151515151515151,0.6585222965056172,0.9268385140257771,1.0,1.0,0.5151515151515151
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,1,tranception_l_rerank,Tranception_L,1.0,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,1,eve_ensemble_rerank,EVE_ensemble,1.0,33,0.5151515151515151,0.6585222965056172,0.9268385140257771,1.0,1.0,0.5151515151515151
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,2,tranception_l_rerank,Tranception_L,1.0,33,0.5151515151515151,0.6585222965056173,0.9268385140257771,1.0,1.0,0.5151515151515151
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,2,eve_ensemble_rerank,EVE_ensemble,1.0,33,0.5151515151515151,0.6585222965056172,0.9268385140257771,1.0,1.0,0.5151515151515151
