method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate,task_idx,dataset_id,objective,edit_budget,seed
dms_prior_rerank,50,0.84,0.8714770364770363,0.9996928746928747,1.86,1.0,0.84,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,2
editguard_guided,50,0.84,0.8714770364770363,0.9996928746928747,1.86,1.0,0.84,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,2
random,50,0.28,0.5300928463428464,0.9891561141561142,2.24,1.0,0.28,6,CAPSD_AAV2S_Sinai_2021,novelty,3,0
novelty,50,0.4,0.6038865526365527,0.9971413721413721,3.0,1.0,0.4,6,CAPSD_AAV2S_Sinai_2021,novelty,3,0
objective_only,50,0.34,0.5947861935361936,0.9962199962199962,3.0,1.0,0.34,6,CAPSD_AAV2S_Sinai_2021,novelty,3,0
dms_prior_rerank,50,0.9,0.8680131355131355,0.9962199962199962,2.56,1.0,0.9,6,CAPSD_AAV2S_Sinai_2021,novelty,3,0
editguard_guided,50,0.84,0.8446664146664147,0.9995274995274995,3.0,1.0,0.84,6,CAPSD_AAV2S_Sinai_2021,novelty,3,0
random,50,0.3,0.5316313078813079,0.989014364014364,2.32,1.0,0.3,6,CAPSD_AAV2S_Sinai_2021,novelty,3,1
novelty,50,0.4,0.6017855792855793,0.9893687393687394,3.0,1.0,0.4,6,CAPSD_AAV2S_Sinai_2021,novelty,3,1
objective_only,50,0.4,0.651083916083916,0.9994566244566244,3.0,1.0,0.4,6,CAPSD_AAV2S_Sinai_2021,novelty,3,1
dms_prior_rerank,50,0.78,0.8238215838215838,0.9983934983934984,2.46,1.0,0.78,6,CAPSD_AAV2S_Sinai_2021,novelty,3,1
editguard_guided,50,0.7,0.8118073143073145,0.9983934983934984,2.96,1.0,0.7,6,CAPSD_AAV2S_Sinai_2021,novelty,3,1
random,50,0.38,0.5500871763371763,0.9717680967680967,2.42,1.0,0.38,6,CAPSD_AAV2S_Sinai_2021,novelty,3,2
novelty,50,0.5,0.6750498487998488,0.9946134946134946,3.0,1.0,0.5,6,CAPSD_AAV2S_Sinai_2021,novelty,3,2
objective_only,50,0.46,0.6850044887544887,0.9896758646758647,3.0,1.0,0.46,6,CAPSD_AAV2S_Sinai_2021,novelty,3,2
dms_prior_rerank,50,0.82,0.8473639198639198,0.9999054999054999,2.54,1.0,0.82,6,CAPSD_AAV2S_Sinai_2021,novelty,3,2
editguard_guided,50,0.78,0.8008058495558495,0.9896758646758647,3.0,1.0,0.78,6,CAPSD_AAV2S_Sinai_2021,novelty,3,2
random,50,0.38,0.6268295218295219,0.9841476091476091,2.44,1.0,0.38,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,0
novelty,50,0.62,0.7487608675108676,0.9925817425817426,3.0,1.0,0.62,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,0
objective_only,50,0.44,0.6597103572103572,0.9998582498582499,2.34,1.0,0.44,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,0
dms_prior_rerank,50,0.8,0.8273733698733697,0.9970941220941221,2.56,1.0,0.8,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,0
editguard_guided,50,0.8,0.8273733698733697,0.9970941220941221,2.56,1.0,0.8,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,0
random,50,0.28,0.582574655074655,0.9916367416367416,2.34,1.0,0.28,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,1
novelty,50,0.54,0.7026722264222264,0.9888962388962389,3.0,1.0,0.54,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,1
objective_only,50,0.5,0.6732652145152146,0.997046872046872,2.4,1.0,0.5,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,1
dms_prior_rerank,50,0.82,0.8366986391986392,0.9973303723303724,2.62,1.0,0.82,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,1
editguard_guided,50,0.82,0.8366986391986392,0.9973303723303724,2.62,1.0,0.82,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,1
random,50,0.48,0.6744509544509544,0.9874078624078624,2.54,1.0,0.48,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,2
