dataset_id,n,r2_additive,r2_global,spec_std,spec_var_share
2MKY.pdb,818,0.10574248268800013,0.7801255998964869,0.4230195788904155,0.21987440010351317
2MW9.pdb,101,0.26593226084130017,0.7934752963191808,0.3792387262743114,0.2065247036808192
2MWA.pdb,105,-1.5904367867479277,0.6371632550941171,0.41840793546753835,0.3628367449058829
2MWB.pdb,207,0.11733914936422829,0.8826991693254713,0.31437104531817234,0.11730083067452872
2MXD.pdb,4708,-1.6610674814767514,0.7065777590763953,0.45274108267497104,0.29342224092360464
2MYX.pdb,582,-2.498569045384199,0.3927008686301924,0.618421458164149,0.6072991313698076
2N4R.pdb,115,0.19048280527027772,0.7221265689258369,0.3978965965478222,0.2778734310741632
2N88.pdb,664,-2.9380634085399486,0.720110754111905,0.4569437491483584,0.2798892458880951
2O2W.pdb,322,-3.864857937195908,0.8261021424875984,0.33394106224643166,0.1738978575124016
2OCH.pdb,793,-13.71854517608,0.1843426758857991,0.3079564905466737,0.815657324114201
2OP7.pdb,441,-5.022764559311505,0.4773224571556848,0.47099694211154425,0.5226775428443153
2RJV.pdb,548,-0.16809739587349348,0.7360581973550964,0.4540774535973339,0.26394180264490363
2RRT.pdb,646,0.3280568269176012,0.8911272968910099,0.3778433652487057,0.10887270310899017
2RU9.pdb,235,-0.6655338779833078,0.8141345261713766,0.2849524181244271,0.1858654738286233
2WQG.pdb,549,-9.59040082218222,0.26100785959870954,0.4600757627737775,0.7389921404012905
2WXC.pdb,129,-5.851770817409547,0.24946688624615265,0.47040973025888205,0.7505331137538473
2YSB.pdb,276,-5.968992376941394,0.2641828422090253,0.46815922127933923,0.7358171577909748
2YSF.pdb,818,-7.9792975657987775,0.4609256786857341,0.40403252744074536,0.5390743213142659
3DKM.pdb,4431,-2.864747573853815,0.445439813060322,0.5625447608505431,0.5545601869396779
3I35.pdb,2677,-0.8605068531269211,0.7233148909871618,0.47930988173645733,0.27668510901283816
3L1X.pdb,2406,-3.3241680484191765,0.3748564845171638,0.5818369239792669,0.6251435154828361
3MYC.pdb,540,-0.3411347448040849,0.8258492917599627,0.37363175618459216,0.17415070824003726
3ZGK.pdb,2363,0.157113193885828,0.7615446811177011,0.5273685112220715,0.2384553188822989
4C26.pdb,1198,-0.9117856629393899,0.8348821956374933,0.46314595819815907,0.16511780436250667
4G3O.pdb,1854,-5.61857211950368,0.2877883147416411,0.7436243163948111,0.7122116852583588
4HCK.pdb,941,0.009835250312375643,0.6715909691412709,0.6688719197166955,0.3284090308587291
4UZW.pdb,1173,-5.889484378599175,0.5299364929414756,0.41146919721274205,0.4700635070585244
5JRT.pdb,361,-10.609493338074333,0.7771628773751693,0.2801506529530959,0.2228371226248307
5KPH.pdb,599,0.37868983759624775,0.7658852762094819,0.48963378977167027,0.23411472379051812
5OAO.pdb,248,-1.8607306677145794,0.10589277545701536,0.6395695611920339,0.8941072245429846
5UBS.pdb,388,-1.7721885484089728,0.7218059250274528,0.4088407500423293,0.2781940749725473
5UCE.pdb,716,-0.6484693110913822,0.6937608169933372,0.5272085353210507,0.3062391830066628
5UP5.pdb,623,-0.8015364944913352,0.7449694662326706,0.35102008607366925,0.2550305337673294
5VNT.pdb,3232,-2.4174230023193157,0.38372431409044105,0.2404470371296351,0.6162756859095588
5Z2S.pdb,48,-0.18804829599893624,0.263115408490909,0.6919465493833131,0.736884591509091
6ACV.pdb,894,-0.5787482037422276,0.7528207027486572,0.39558612797941517,0.2471792972513428
6EWS.pdb,308,-0.23278662275343298,0.7210276294585942,0.37047105145262543,0.2789723705414057
6EWT.pdb,358,0.6518266630443967,0.8612211592002835,0.3648826065813362,0.13877884079971645
6EWU.pdb,660,-0.8278371965735494,0.7928231395212647,0.5558164093828492,0.20717686047873532
6IWS.pdb,1475,-0.9369109805445348,0.8437603018120627,0.49579545457161206,0.15623969818793723
